,Date,Title,URL,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Design,Sample,Study population,Added on,Sample Text,Matches,Entry
45,2020-03-30,Prognostic factors for COVID-19 pneumonia progression to severe symptom based on the earlier clinical features: a retrospective analysis,http://doi.org/10.1101/2020.03.28.20045989,,OR 8.41,2.96,23.89,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,125,"Guangzhou Eighth People’s Hospital from January 20 to February 29, 2020.",5/6/2020,,,
46,2020-03-30,"Suspected myocardial injury in patients with COVID-19: Evidence from front-line clinical observation in Wuhan, China",https://doi.org/10.1016/j.ijcard.2020.03.087,International Journal of Cardiology,OR 1.53,0.67,3.51,0.31,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,112,"Renmin Hospital of Wuhan Univeristy from  January 6 to February 20, 2020",5/6/2020,,,
47,2020-03-30,Development and external validation of a prognostic multivariable model on admission for hospitalized patients with COVID-19,https://doi.org/10.1101/2020.03.28.20045997,medRxiv,,,,,,,,OR 2.20,1.38,3.52,<0.01,Significant,Not Adjusted,Calculated,,Retrospective observational study,299,Tongji Hospital from Jan to Feb 2020,5/6/2020,,,
48,2020-03-27,Radiographic Findings and other Predictors in Adults with Covid-19,https://doi.org/10.1101/2020.03.23.20041673,medRxiv,,,,,,,,OR 2.30,0.75,7.03,0.12,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,102,"Tongji Hospital from January 31 to March 5, 2020",4/10/2020,,,
49,2020-03-27,"Lactate dehydrogenase, a Risk Factor of Severe COVID-19 Patients: A Retrospective and Observational Study",http://doi.org/10.1101/2020.03.24.20040162,medRxiv,OR 1.34,0.41,4.36,0.63,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,47,"Renmin Hospital of Wuhan University from February 1 to February 18, 2020 (followed up for 14 days)",4/10/2020,,,
50,2020-03-27,Predicting COVID-19 malignant progression with AI techniques,http://doi.org/10.1101/2020.03.20.20037325,medrxiv,OR 4.22,1.73,10.29,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,133,"Wuhan Pulmonary Hospital from January 3 to February 13, 2024",5/6/2020,,,
51,2020-03-27,"Lactate dehydrogenase, a Risk Factor of Severe COVID-19 Patients: A Retrospective and Observational Study",http://doi.org/10.1101/2020.03.24.20040162,medRxiv,OR 1.34,0.41,4.36,0.63,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,47,"Renmin Hospital of Wuhan University from February 1 to February 18, 2020 (followed up for 14 days)",5/6/2020,,,
52,2020-03-26,Metabolic disturbances and inflammatory dysfunction predict severity of coronavirus disease 2019 (COVID-19): a retrospective study,https://doi.org/10.1101/2020.03.24.20042283,medRxiv,OR 8.93,2.66,2.9.98,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Prospective observational study,97,"Renmin Hospital of Wuhan University Feb 9-28, 2020 followed up through March 10",4/10/2020,,,
53,2020-03-26,Acute kidney injury at early stage as a negative prognostic indicator of patients with COVID-19: a hospital-based retrospective analysis,https://doi.org/10.1101/2020.03.24.20042408,medRxiv,,,,,,,,,,,,,,,,Retrospective observational study,355,"Two hospitals: Union Hospital of Huazhong University of Science and Technology, in Wuhan city, Hubei Province, China from Jan 1,2020 to Jan 30, 2020. Second People’s Hospital of Fuyang City, in Anhui province, China from Jan 25, 2020 to Feb 20, 2020.",5/6/2020,,,
54,2020-03-24,"Myocardial injury is associated with in-hospital mortality of confirmed or suspected COVID-19 in Wuhan, China: A single center retrospective cohort study",https://doi.org/10.1101/2020.03.21.20040121,medRxiv,,,,,,,Hypertension,OR 1.32,0.37,4.73,0.67,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,110,Patients from Wuhan No.1 Hospital from Dec 25th to Feb 15th.,4/10/2020,,,
55,2020-03-23,Prognostic value of C-reactive protein in patients with COVID-19,https://doi.org/10.1101/2020.03.21.20040360,medRxiv,,,,,,,,OR: 6.70,3.83,11.73,<0.001,Significant,Not Adjusted,Calculated,,Retrospective observational study,298,"Eastern Campus of Renmin Hospital of Wuhan University from Jan 30 to Feb 20, 2021",4/10/2020,,,
56,2020-03-23,"Clinical Characteristics of Coronavirus Disease 2019 in Hainan, China [medrxiv]",https://doi.org/10.1101/2020.03.19.20038539,medRxiv,OR: 4.03,1.62,10.02,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,168,Hainan province from 22 January 2020 to 14 March 2023,5/6/2020,,,
57,2020-03-23,"Clinical Characteristics of Coronavirus Disease 2019 in Hainan, China",https://doi.org/10.1101/2020.03.19.20038539,medRxiv,OR 4.03,1.62,10.02,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,168,Hainan province from 22 January 2020 to 14 March 2020,5/6/2020,,,
58,2020-03-20,"Epidemiological, clinical characteristics of cases of SARS-CoV-2 infection with abnormal imaging findings",http://doi.org/10.1016/j.ijid.2020.03.040,International Journal of Infectious Diseases,OR 3.95,2.26,6.93,<0.01,Significant,Not Adjusted,Extracted,,,,,,,,,Retrospective observational study,645,"Zhejiang from  Jan 17 to Feb 8, 2020",5/6/2020,,,
59,2020-03-18,Host susceptibility to severe COVID-19 and establishment of a host risk score: findings of 487 cases outside Wuhan,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7081524/,Critical Care,OR 5.65,3.06,10.45,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,487,"Zhejiang Province of China followed up until February 17, 2020",5/6/2020,,,
60,2020-03-17,Clinical characteristics and durations of hospitalized patients with COVID-19 in Beijing: a retrospective cohort study,https://doi.org/10.1101/2020.03.13.20035436,medRxiv,OR 4.08,1.27,13.1,0.02,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,77,Beijing YouAn Hospital from January 21 to February 8 2020,4/10/2020,,,
61,2020-03-17,"Incidence, clinical characteristics and prognostic factor of patients with COVID-19: a systematic review and meta-analysis",https://doi.org/10.1101/2020.03.17.20037572,medRxiv,OR 2.06,1.61,2.62,,Significant,Not Adjusted,Extracted,,,,,,,,Hypertension,Systematic review and meta-analysis,10 studies enrolling 2511 patients,"PubMed, Web of Science Core Collection, Embase, Cochrane and MedRxiv databases were searched through February 25, 2020.",4/10/2020,,,
62,2020-03-16,Systematic review and meta-analysis of predictive symptoms and comorbidities for severe COVID-19 infection,https://www.medrxiv.org/content/10.1101/2020.03.15.20035360v1.full.pdf,medRxiv,OR 1.97,1.4,2.77,<0.01,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,3 studies enrolling 212 patients,"MEDLINE, EMBASE and Global Health, from 1st January 2019 to 5th March 2020",4/10/2020,,,
63,2020-03-16,"Influence factors of death risk among COVID-19 patients in Wuhan, China: a hospital-based case-cohort study",https://doi.org/10.1101/2020.03.13.20035329,medRxiv,,,,,,,Hypertension,RR 1.80,0.94,3.43,0.07,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,200,"Union Hospital of Huazhong University of Science and Technology from Jan 1 to Jan 30, 2020",4/10/2020,,,
64,2020-03-16,Systematic review and meta-analysis of predictive symptoms and comorbidities for severe COVID-19 infection,https://www.medrxiv.org/content/10.1101/2020.03.15.20035360v1.full.pdf,medRxiv,OR 3.65,2.22,5.99,<0.01,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,7 studies enrolling 212 patients,"MEDLINE, EMBASE and Global Health, from 1st January 2019 to 5th March 2020",4/13/2020,,,
65,2020-03-16,"Influence factors of death risk among COVID-19 patients in Wuhan, China: a hospital-based case-cohort study",https://doi.org/10.1101/2020.03.13.20035329,medRxiv,,,,,,,,RR 1.80,0.94,3.43,0.07,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,200,"Union Hospital of Huazhong University of Science and Technology from January 1 to January 30, 2020",5/6/2020,,,
66,2020-03-13,"Risk Factors Associated With Acute Respiratory Distress Syndrome and Death in Patients With Coronavirus Disease 2019 Pneumonia in Wuhan, China",https://doi.org/10.1001/jamainternmed.2020.0994,JAMA Internal Medicine,HR 1.82,1.13,1.95,0.01,Significant,Not Adjusted,Extracted,HR 1.70,0.92,3.14,0.09,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,201,"Wuhan Jinyintan Hospital in China from December 25, 2019 to January 26, 2020 (followed up through February 13, 2020)",4/10/2020,,,
67,2020-03-12,"Dysregulation of immune response in patients with COVID-19 in Wuhan, China | Clinical Infectious Diseases | Oxford Academic [Clinical Infectious Diseases]",https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciaa248/5803306,Clincial Infectious Diseases,OR 2.63,1.66,4.18,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,452,"Tongji hospital from Jan 10 to Feb 12, 2020.",5/6/2020,,,
68,2020-03-12,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",http://doi.org/10.1016/s0140-6736(20)30566-3,Lancet,,,,,,,,OR: 3.05,1.57,5.92,<0.01,Significant,Not Adjusted,Calculated,,Retrospective observational study,191,"Jinyintan Hospital and Wuhan Pulmonary Hospital (Wuhan, China) who had been discharged or had died by Jan 31, 2020",5/6/2020,,,
69,2020-03-12,Dysregulation of immune response in patients with COVID-19 in Wuhan China,https://doi.org/10.1093/cid/ciaa248,Clinical Infectious Diseases,OR 1.76,1.11,2.77,0.02,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,452,"Tongji hospital, from January 10 to February 12, 2020",5/6/2020,,,
70,2020-03-11,Prevalence and impact of cardiovascular metabolic diseases on COVID-19 in China,https://doi.org/10.1007/s00392-020-01626-9,Clinical Research in Cardiology,RR: 2.03,1.54,2.68,<0.01,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,4 studies enrolling 1415 patients,EMBASE and PubMed were searched from December 2019 to February 2020,5/6/2020,,,
71,2020-03-10,Prognostic value of NT-proBNP in patients with severe COVID-19,https://doi.org/10.1101/2020.03.07.20031575,Respiratory Research,,,,,,,,HR 4.04,1.6,10.2,<0.01,Significant,Not Adjusted,Extracted,,Prospective observational study,54,Hubei General Hospital (followed for 15 days),4/10/2020,,,
72,2020-03-09,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",https://www.ncbi.nlm.nih.gov/pubmed/32171076,Lancet,,,,,,,,OR 3.05,1.57,5.92,<0.01,Significant,Not Adjusted,Calculated,,Retrospective observational study,191,"Only those who either died or were discharged, at Jinyintan Hospital or Wuhan Pulmonary Hospital through Jan 31, excluding those still hospitalized on Jan 31",4/10/2020,,,
73,2020-03-06,Analysis of myocardial injury in patients with COVID-19 and association between concomitant cardiovascular diseases and severity of COVID-24,https://www.ncbi.nlm.nih.gov/pubmed/32141280,Chinese Journal of Cardiovascular Diseases,AOR 2.59,0.61,10.98,0.2,Not Significant,Adjusted,Extracted,,,,,,,,"age, gender, history of heart disease, N-terminal pro-B-type natriuretic peptide, cardiac troponin I, hypersensitive C-reactive protein",Cross-sectional study,150,"Tongji Hospital, excluding those with acute myocardial infarction",4/10/2020,,,
74,2020-03-06,Analysis of myocardial injury in patients with COVID-19 and association between concomitant cardiovascular diseases and severity of COVID-20,https://www.ncbi.nlm.nih.gov/pubmed/32141280,Chinese Journal of Cardiovascular Diseases,OR 3.64,1.48,8.96,<0.01,Significant,Not Adjusted,Extracted,,,,,,,,,Cross-sectional study,150,"Tongji Hospital, excluding those with acute myocardial infarction",4/10/2020,,,
75,2020-03-06,"Epidemiological and clinical features of 291 cases with coronavirus disease 2019 in areas adjacent to Hubei, China: a double-center observational study [medrxiv]",https://doi.org/10.1101/2020.03.03.20030357,medRxiv,OR 6.77,3.26,14.1,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,291,"First Hospital of Changsha and Loudi Central Hospital from January 23 to February 14, 2020, followed up to Feb 20, 2024",5/6/2020,,,
76,2020-03-06,"Epidemiological and clinical features of 291 cases with coronavirus disease 2019 in areas adjacent to Hubei, China: a double-center observational study",https://doi.org/10.1101/2020.03.03.20030353,medRxiv,OR 6.78,3.26,14.08,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,291,"First Hospital of Changsha and Loudi Central Hospital from January 23 to February 14, 2020, followed up to Feb 20, 2020",5/6/2020,,,
77,2020-03-05,Prevalence of comorbidities in the novel Wuhan coronavirus (COVID-19) infection: a systematic review and meta-analysis,https://www.ncbi.nlm.nih.gov/pubmed/32173574,International Journal of Infectious Diseases,OR 2.36,1.46,3.83,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,4 studies enrolling 1138 subjects,"PubMed, EMBASE, and Web of Science published between Jan 1 and Feb 25 2020",4/10/2020,,,
78,2020-03-04,"Clinical Features of Patients Infected with the 2019 Novel Coronavirus (COVID-19) in Shanghai, China",https://doi.org/10.1101/2020.03.04.20030395,medRxiv,OR 1.83,0.65,5.16,0.25,Not Significant,Not Adjusted,Calculated,,,,,,,,,Cross-sectional study,198,Shanghai Public Health Clinical Centre from January 20 up to February 15,4/10/2020,,,
79,2020-03-03,"Clinical findings in critically ill patients infected with SARS-CoV-2 in Guangdong Province, China: a multi-center, retrospective, observational study",https://doi.org/10.1101/2020.03.03.20030668,medRxiv,OR 1.83,0.56,6.03,0.32,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,45,ICU admissions of 7 hospitals in Guangdong Province,4/10/2020,,,
80,2020-03-03,Detectable serum SARS-CoV-2 viral load (RNAaemia) is closely associated with drastically elevated interleukin 6 (IL-6) level in critically ill COVID-19 patients,http://doi.org/10.1101/2020.02.29.20029520,medRxiv,OR 4.36,1.22,15.64,0.02,Significant,Not Adjusted,Calculated,,,,,,,,,Prospective observational study,48,"General Hospital of Central Theater Command from February 1 to February 19, 2020",4/10/2020,,,
81,2020-03-03,Detectable serum SARS-CoV-2 viral load (RNAaemia) is closely associated with drastically elevated interleukin 6 (IL-6) level in critically ill COVID-19 patients,http://doi.org/10.1101/2020.02.29.20029520,medRxiv,OR 4.25,1.25,14.5,0.02,Significant,Not Adjusted,Calculated,,,,,,,,,Prospective observational study,48,"General Hospital of Central Theater Command from February 1 to February 19, 2020",4/10/2020,,,
82,2020-03-03,Epidemiological and clinical features of 2019-nCoV acute respiratory disease cases in Chongqing municipality China: a retrospective descriptive multiple-center study,https://doi.org/10.1101/2020.03.01.20029397,medRxiv,OR 10.54,3.94,28.17,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,267,"Qianjiang central hospital of Chongqing, Chongqing three gorges central hospital and Chongqing public health medical center from January 19 to February 16, 2023",5/6/2020,,,
83,2020-03-02,"Clinical features and outcomes of 221 patients with COVID-19 in Wuhan, China",https://doi.org/10.1101/2020.03.02.20030452,medRxiv,OR 4.42,2.27,8.61,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,221,"Zhongnan Hospital of Wuhan University,  from January 2 to February 10, 2020 (followed-up through Feb 15)",4/10/2020,,,
84,2020-03-02,"Clinical Characteristics of Patients with Severe Pneumonia Caused by the 2019 Novel Coronavirus in Wuhan, China",https://doi.org/10.1101/2020.03.02.20029306,medRxiv,OR 5.22,1.96,13.92,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Cross-sectional study,110,"respiratory ICU admissions of Central Hospital of Wuhan from Jan 1-Feb 10, 2020",4/10/2020,,,
85,2020-02-28,Clinical Characteristics of Coronavirus Disease 2019 in China,https://www.ncbi.nlm.nih.gov/pubmed/32109013/,New England Journal of Medicine,OR 3.53,2.08,5.99,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,1099,"552 hospitals in China between Dec 11, 2020 to Jan 29, 2020",4/10/2020,,,
86,2020-02-28,Clinical Characteristics of Coronavirus Disease 2019 in China,https://www.ncbi.nlm.nih.gov/pubmed/32109013/,New England Journal of Medicine,OR 2.01,1.35,2.99,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,1099,"552 hospitals in China between Dec 11, 2020 to Jan 29, 2020",4/10/2020,,,
87,2020-02-28,Impact of complicated myocardial injury on the clinical outcome of severe or critically ill COVID-19 patients [Zhonghua xin xue guan bing za zhi],https://www.ncbi.nlm.nih.gov/pubmed/32171190,Zhonghua Xin Xue Guan Bing Za Zhi.,,,,,,,,OR 1.14,0.39,3.35,0.81,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,54,"Sino-French New City Hospital of Tongji Hospital from February 3, 2020 to February 24, 2020",5/6/2020,,,
88,2020-02-28,Prognostic impact of severe / critically severe new coronavirus pneumonia patients with myocardial injury,https://doi.org/10.3760/cma.j.cn112148-20200228-00137,Zhonghua xin xue guan bing za zhi,,,,,,,,OR 1.08,0.41,2.87,0.87,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,54,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology from February 3 to February 24, 2020",5/6/2020,,,
89,2020-02-27,"Comorbidity and its impact on 1,590 patients with COVID-19 in China: A Nationwide Analysis [medrxiv]",https://doi.org/10.1101/2020.02.25.20027664,medRxiv,HR 1.58,1.07,2.32,0.02,Significant,Not Adjusted,Extracted,,,,,,,,,Retrospective observational study,1590,"575 hospitals in China, from  November 21st, 2019 to January 31st, 2020",4/10/2020,,,
90,2020-02-27,"Clinical characteristics of 140 patients infected by SARS-CoV-2 in Wuhan, China",https://doi.org/10.1111/all.14238,Allergy,OR 1.89,0.91,3.94,0.09,Not Significant,Not Adjusted,Calculated,,,,,,,,,Cross-sectional study,140,"No. 7 Hospital in Wuhan from January 16 to February 3, 2020",4/10/2020,,,
91,2020-02-25,"Neurological Manifestations of Hospitalized Patients with COVID-19 in Wuhan, China: a retrospective case series study",https://doi.org/10.1101/2020.02.22.20026500,medRxiv,OR .322,1.67,6.18,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Case series,214,Union Hospital of Huazhong University of Science and Technology in Wuhan from 16 January to 19 February 2020,4/10/2020,,,
92,2020-02-23,"SARS-CoV-2 infection does not significantly cause acute renal injury: an analysis of 116 hospitalized patients with COVID-19 in a single hospital, Wuhan, China",https://doi.org/10.1101/2020.02.19.20025288,medRxiv,OR 1.47,0.42,5.14,0.55,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,116,"Renmin Hospital of Wuhan University from January 14 to February 13, 2020",5/6/2020,,,
93,2020-02-23,"SARS-CoV-2 infection does not significantly cause acute renal injury: an analysis of 116 hospitalized patients with COVID-19 in a single hospital, Wuhan, China",https://doi.org/10.1101/2020.02.19.20025288,medRxiv,OR 0.85,0.4,1.8,0.67,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,116,"Renmin Hospital of Wuhan University from January 14 to February 13, 2020",5/6/2020,,,
94,2020-02-23,ACP risk grade: a simple mortality index for patients with confirmed or suspected severe acute respiratory syndrome coronavirus 2 disease (COVID-19) during the early stage of outbreak in Wuhan China,https://doi.org/10.1101/2020.02.20.20025510,medRxiv,OR 1.58,0.93,2.69,0.09,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,577,"Wuhan Hankou Hospital from Jan 21 to Feb 5, 2020",5/6/2020,,,
95,2020-02-23,Early Prediction of Disease Progression in 2019 Novel Coronavirus Pneumonia Patients Outside Wuhan with CT and Clinical Characteristics [medrxiv],https://doi.org/10.1101/2020.02.19.20025296,medRxiv,OR 4.93,1.54,15.82,0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,224,"Third Xiangya Hospital, Changsha Public Health Treatment Center, and Second People’s Hospital of Hunan between January 17, 2020 and February 1, 2020",5/6/2020,,,
96,2020-02-20,Clinical features and progression of acute respiratory distress syndrome in coronavirus disease 2019,https://doi.org/10.1101/2020.02.17.20024166,medRxiv,OR 1.64,0.74,3.65,0.22,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,109,"Central Hospital of Wuhan between January 2 and February 1, 2020",5/6/2020,,,
97,2020-02-12,Neutrophil-to-Lymphocyte Ratio Predicts Severe Illness Patients with 2019 Novel Coronavirus in the Early Stage,https://doi.org/10.1101/2020.02.10.20021584,medRxiv,OR 3.45,0.93,12.88,0.06,Not Significant,Not Adjusted,Calculated,,,,,,,,,Prospective observational study,61,"Beijing Ditan Hospital from January 13, 2020 to January 31, 2020",4/10/2020,,,
98,2020-02-09,Clinical characteristics of 2019 novel coronavirus infection in China,https://doi.org/10.1101/2020.02.06.20020974,New England Journal of Medicine,OR 2.03,1.36,3.02,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,1099,"552 hospitals in China between Dec 11, 2020 to Jan 29, 2020",5/6/2020,,,
99,2020-02-07,"Clinical Characteristics of 138 Hospitalized Patients With 2019 Novel Coronavirus-Infected Pneumonia in Wuhan, China",https://www.ncbi.nlm.nih.gov/pubmed/32031570,JAMA,OR 5.09,2.26,11.48,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Case series,138,"Zhongnan Hospital of Wuhan University from January 1 to January 28, 2020 (followed up through February 3)",4/10/2020,,,
